"","15_24","25_44","45_64","65_89","White","Mixed","Asian","Black","Other","unemployed","emplyment","nonstudent","student"
"106",13208.6433468,28765.651896,30275.249391,19253.925564,101781.003102,1831.3705881,4513.756872,935.280978,687.687234,4373.9256711,105375.0743289,109003.584792,745.415208
"107",12829.2113612,28865.304721,31944.614814,20215.18793,105840.208917,2623.5726542,3348.762522,1655.841478,272.523436,4906.9573515,108834.0426485,113694.9007727,46.0992273
"108",13064.7452355,27326.181217,28463.173342,17256.978958,101604.648269,1106.9023472,1290.054789,398.33931,151.076195,5085.6011073,99465.3988927,104548.6685127,2.3314873
"109",13083.8822674,27868.992214,32728.936408,20889.92976,112118.9482,1161.663146,1037.482586,499.711772,164.194296,4167.752554,110814.247446,114875.9176068,106.0823932
"110",12797.6695504,27527.427616,31211.405136,19544.938624,103614.829728,1951.0896736,4618.905712,627.661216,435.424672,2895.7075664,108352.2924336,110541.6975728,706.3024272
"111",20130.6100175,42562.8842,52602.620263,37255.744243,180308.34943,1270.9739942,1440.123817,331.248676,268.267359,6064.1276464,177554.8723536,183515.8428458,103.1571542
"112",35683.7691332,71203.911124,87316.332344,60656.286864,300832.862236,2174.938856,3099.026828,581.96966,419.20242,10217.636714,296890.363286,306991.9438868,116.0561132
"113",35083.4067516,67829.153366,61545.51655,37355.604048,220455.816435,4485.7963964,18420.626578,3736.754256,1620.155566,13435.4024296,235283.5975704,246855.4977644,1863.5022356
"114",22384.5827912,45268.590864,43080.101806,23206.358931,154591.110023,2986.4083648,6998.894112,1781.087756,473.466378,8018.2648882,158812.7351118,166375.1509756,455.8490244
"115",12152.0035584,26530.59416,26065.030438,15115.549382,95373.329012,868.0699556,983.236232,280.353086,77.08978,4697.2364266,92884.7635734,97582,0
"116",13939.63494,30123.752634,30316.172654,18409.472304,102952.68076,1622.9205462,7882.95863,1025.519006,373.909672,4276.9277546,109581.0722454,113841.1376302,16.8623698
"117",11148.2739093,24325.000194,28671.035142,19514.673735,97647.639171,1036.6385208,1627.189875,482.253669,117.258582,3490.7234031,97420.2765969,100906.1058165,4.8941835
"118",18081.0346752,30207.6503,33425.876862,21609.27832,117668.61525,1490.0789108,3512.189056,828.000552,379.06668,4652.7214142,119225.2785858,122838.8865604,1039.1134396
"119",12711.9730122,24311.000238,32398.888662,21675.406662,103879.344996,1497.5830044,2125.632432,578.95971,236.458194,3815.1116052,104502.8883948,108318,0
"120",15865.1677435,32487.484525,36469.17953,24087.82148,124332.71007,1694.331059,3288.60598,1107.240805,472.138265,4124.737061,126770.262939,130133.636143,761.363857
"121",10403.0252739,22561.917273,28977.711273,19549.70199,95926.618872,602.6374746,502.57053,120.150324,57.061683,2690.3271213,94518.6728787,97206.6767049,2.3232951
"122",9546.14515400001,21367.813285,20417.77556,10789.521925,74840.82697,803.86033,763.798035,393.39482,93.119845,3448.7945765,73446.2054235,76890.1325465,4.8674535
"123",6885.31619269999,15371.559997,18196.982031,10986.276016,60782.399084,506.6089866,580.718417,172.234886,47.063462,2299.590293,59789.409707,62086.5971557,2.4028443
"124",15363.1793814,33419.868183,33293.706729,20165.265564,114535.412655,1397.7460095,7889.856417,1048.293831,537.628383,6173.0824524,119235.9175476,125389.9629138,19.0370862
"125",11403.8036992,27323.455456,26219.808384,16574.403296,90945.965616,1994.3531696,5246.89616,1995.34808,313.346528,3501.3911856,96994.6088144,100464.8060416,31.1939584
"126",12027.7633872,27155.194,35942.844344,25346.096248,117637.025352,1261.5354664,1470.065608,264.725384,190.539448,2925.2940288,117898.7059712,120730.9292728,93.0707272
"127",19660.5881496,38200.39092,34621.183224,21897.95796,122793.434568,2804.787036,9951.288264,973.655784,1212.76548,3923.9195832,133812.0804168,135442.7093736,2293.2906264
"128",174393.1936635,308614.648825,222717.128711,131953.106607,622353.62756,47659.9207252,285968.763185,96471.687683,21829.43056,83109.2185875,991173.7814125,1061623.9714129,12659.0285871
"129",54844.169006,88409.460635,68717.31328,43955.793585,233995.774825,8228.824741,51590.909765,17761.501175,5338.11626,17362.124892,299552.875108,309957.701622,6957.298378
"130",38045.1412107,80703.551864,80853.603883,56032.055287,281909.525859,5764.1903566,18962.314852,4676.046947,1949.109942,18171.7380663,295089.2619337,313219.9941351,41.0058649
"131",41143.3486398,88178.335776,70336.723032,44894.222298,216155.718396,10231.4225898,59446.391994,18415.194696,4793.24142,24702.7468986,284339.2531014,308807.9933976,234.0066024
"132",24793.036164,49125.19716,56898.018216,37749.15144,184406.332032,4407.8738184,13573.063296,3241.847232,1227.069792,9404.4391272,197451.5608728,206817.5454696,38.4545304
"133",35197.4895412,70335.522088,65492.714856,44156.925492,212627.4836,7229.3883472,41052.54806,6373.703552,2240.553012,20436.0643472,249087.9356528,269376.5164672,147.4835328
"134",34769.029542,69452.109996,58644.761736,38860.480968,169941.83484,12803.5657992,45029.076996,17335.481316,4742.19096,21224.1528588,228627.8471412,249152.6392668,699.3607332
"135",10439.448366,21915.197724,26936.327232,18159.450216,89787.007584,1397.4128952,1926.942456,444.477144,176.21616,2934.702054,90797.297946,93729.5535948,2.4464052
"136",7972.00426020001,14878.969902,22456.548894,17068.154526,72914.17659,639.6402426,902.896716,151.130238,98.088978,2408.2076748,72297.7923252,74701.3607574,4.6392426
"137",10263.650709,23992.602582,22632.890514,11400.046554,77592.712002,1657.0426314,4034.026074,863.079048,171.249858,3898.780002,80419.219998,84313.1432832,4.8567168
"138",13979.3901387,28484.285424,24259.146681,13909.495803,92210.788908,1393.742196,4362.006516,472.573731,239.78997,4209.0047265,94469.9952735,97850.4516444,828.5483556
"139",12093.4632224,26590.549324,34883.720262,23859.447052,114584.187242,963.0741388,1130.232396,228.2943,168.235338,3686.9412376,113387.0587624,117062.1638186,11.8361814
"140",10683.9571968,23771.7376,27459.420928,19643.622656,95344.032256,998.7463424,1391.006976,214.136832,100.107008,4458.389632,93589.610368,98038.8717312,9.1282688
"141",20136.027616,43070.43216,40211.00272,23792.48592,127136.80536,5398.348976,17973.08296,6216.21272,1115.61312,7010.70036,150829.29964,157036.105096,803.894904
"142",29076.6673516,68419.026296,71374.52658,38542.423304,239907.322292,4812.7795084,6433.792548,3631.934308,858.196908,8821.507508,246822.492492,255359.9539516,284.0460484
"143",30247.7141145,62873.751468,42467.701422,23010.618436,111319.538086,8298.9409448,61083.950719,19952.134257,2986.395265,11599.3302677,192041.6697323,201154.8692156,2486.1307844
"144",24108.0134204,55610.09636,42907.096141,23894.928694,152225.721648,4970.2492021,21588.84728,4182.746932,1489.674732,9443.2392236,175013.7607764,184339.8882507,117.1117493
"145",20087.2046428,48381.94788,43883.06457,29057.749664,159587.05865,3663.9540034,6462.95129,3659.928274,900.12521,8688.1165768,165585.8834232,174124.647182,149.352818
"146",19727.2198992,47898.385788,38250.051972,19307.746392,135912.486732,3110.0611608,5948.186244,12367.06152,930.299304,8663.3845716,149604.6154284,158156.3102724,111.6897276
"147",28052.946855,40471.391425,23107.031175,13461.70525,101262.729275,3907.637635,13492.3865,2077.611525,1984.585975,3044.3040775,119680.6959225,119843.0120075,2881.9879925
"148",8708.1107925,23284.054325,22460.812185,13720.561925,81083.95911,1188.02299,1221.131275,508.587065,243.215315,2399.112261,81845.887739,84240.130639,4.869361
"149",10983.7617522,23496.006852,26002.239946,18521.629603,92824.462641,902.8796841,1077.277385,498.020037,158.369799,4327.9821797,91133.0178203,95458.6516594,2.3483406
"150",19887.1663035,45288.357299,47220.510456,26213.892396,161194.421415,2537.9170945,4203.194041,1647.167793,456.384676,5381.4622876,164657.5377124,170007.1176875,31.8823125
"151",15998.180814,40332.521614,40961.108804,23721.037494,139801.08758,2542.444135,5580.415764,1277.253208,640.57455,3297.722736,146544.277264,149757.039586,84.960414
"152",21184.4913453,47765.33329,45006.915475,26800.658012,162116.230572,2894.8427037,4778.807952,4697.796379,483.269902,8370.5601487,166600.4398513,174956.5648925,14.4351075
"153",16674.613775,38973.641342,40163.046724,23230.652234,142502.359364,1842.376103,2003.97769,915.619398,249.741202,5589.9397702,141924.0602298,147487.4179772,26.5820228
"154",8169.50979649999,18494.143019,20473.524865,13355.400147,69092.580654,1199.9014818,2357.669289,898.940334,291.967314,2295.0225846,71545.9774154,73828.9491488,12.0508512
"155",10211.4504788,19813.45118,25199.574864,18209.251712,85227.43996,910.515364,1011.498036,660.60964,153.937,3280.309506,84683.690494,87951.9313392,12.0686608
"156",20150.4789558,45854.320177,45134.526625,26769.681589,158152.897713,2648.847011,4967.283171,2053.231326,668.740779,5730.6484956,162760.3515044,168217.707598,273.292402
"157",25676.8508668,47715.377304,43080.057118,26069.01017,159803.0063,3161.8408066,6374.758852,2583.029092,1691.173974,6001.315138,167612.684862,171570.8757252,2043.1242748
"158",14071.91548,32223.03616,34525.07408,21422.91424,113069.09936,2653.7,5932.54928,2408.3108,816.46544,4565.42548,120314.57452,124649.40908,230.59092
"159",9930.1371968,23736.333388,20259.424518,11814.505113,73206.55868,1756.9853485,3743.655412,3098.812493,371.029155,4349.135548,77827.864452,82098.6688836,78.3311164
"160",6454.529472,13930.5126,18913.90884,11788.39656,60518.24988,506.745888,484.68716,150.22648,60.11528,1994.08062,59725.91938,61712.828136,7.171864
"161",9273.1629072,19812.920748,23673.071974,16001.852659,80981.676072,905.496378,881.496474,433.248267,131.082809,2532.0565384,80800.9434616,83328.0333532,4.9666468
"162",14680.339553,26840.771482,38335.951664,35281.606038,134680.723558,1467.1434554,1275.140632,434.066928,205.02207,7148.4913988,130913.5086012,138053.1088072,8.8911928
"163",8712.0754368,19499.476672,23114.121952,12956.38048,77330.11968,984.2415392,1130.371968,420.087968,167.26688,2083.3049888,77948.6950112,80021.7799136,10.2200864
"164",11461.394385,25505.309592,23778.569136,14741.66715,84613.936722,2143.1240334,2192.15829,3960.970944,791.7819,3961.5987474,89740.4012526,93682.0976952,19.9023048
"165",16685.804373,39735.37055,38850.651028,21842.793638,131946.56678,3084.5748314,6791.083222,2999.241316,476.432142,5197.6581752,140100.3418248,145230.1313042,67.8686958
"166",12027.7932202,26875.172323,26137.587431,15473.623608,85358.888714,2628.1129401,7418.710753,3940.678782,1032.598773,3688.8880984,96690.1119016,100050.9513901,328.0486099
